[NODE_AGENT bob-agent-v1] Starting node 'data-mainpc' (worker) against orchestrator http://100.111.201.26:5080
[NODE_AGENT bob-agent-v1] Registering node 'data-mainpc' with Prime Bob...
[NODE_AGENT] Registration OK for 'data-mainpc': 200
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5875MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.00, free=5873MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5875MB
[NODE_AGENT] Heartbeat failed for 'data-mainpc': ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5873MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5871MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5869MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5868MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5870MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5874MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5871MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5870MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5870MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5872MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5873MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5876MB
[NODE_AGENT] Heartbeat failed for 'data-mainpc': ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5875MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5873MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5877MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5873MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5874MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5880MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5876MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5873MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5873MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5871MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5872MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5870MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5880MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5876MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5877MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5874MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5872MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5875MB
[NODE_AGENT] Heartbeat failed for 'data-mainpc': ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
[NODE_AGENT] Heartbeat failed for 'data-mainpc': ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5872MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5869MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.00, free=5874MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.00, free=5874MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5873MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.02, free=5871MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.04, free=5757MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5755MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.02, free=5749MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5747MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.02, free=5745MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5747MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5745MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5782MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5859MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5860MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.00, free=5858MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5861MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5860MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.00, free=5861MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5860MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5864MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5860MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5859MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5860MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5861MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.00, free=5860MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5856MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5857MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5858MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.00, free=5859MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5862MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5858MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5856MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.00, free=5855MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.00, free=5856MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5854MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5857MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5859MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.00, free=5857MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5857MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.00, free=5858MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5859MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5859MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5858MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5857MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5855MB
[NODE_AGENT] Heartbeat failed for 'data-mainpc': ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.03, free=5742MB
[NODE_AGENT] Heartbeat failed for 'data-mainpc': ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.06, free=5738MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.04, free=5782MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5784MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5793MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5862MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5862MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.02, free=5860MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5859MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5857MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5856MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5856MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.00, free=5858MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5854MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5857MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5858MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5856MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5855MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5854MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5854MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5859MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5859MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5856MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5855MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.02, free=5858MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5861MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5863MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5863MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5863MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5860MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5860MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5857MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.02, free=5828MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5826MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5827MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.02, free=5802MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5800MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5802MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.02, free=5802MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5801MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5805MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5803MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5807MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5804MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5805MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5805MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5803MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5807MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5803MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5801MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5801MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5799MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5802MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5803MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5835MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5835MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.03, free=5804MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5806MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5801MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5807MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5806MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5802MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5802MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5804MB
[NODE_AGENT] Heartbeat failed for 'data-mainpc': ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5805MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5802MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5805MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.02, free=5803MB
[NODE_AGENT] 'data-mainpc' received task id=1: Review new function.
[NODE_AGENT] Reported completion for task id=1 from 'data-mainpc'
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.14, free=4572MB
